"region","value","period","indID","dsID","source","is_number"
"AFG",5821096,2004,"OH010","dummy_data","dummy_source",1
"AFG",2631740,2006,"OH010","dummy_data","dummy_source",1
"AFG",2183376.8,2013,"OH010","dummy_data","dummy_source",1
"AFG",5821096,2009,"OH010","dummy_data","dummy_source",1
"AFG",3589846.2,2005,"OH010","dummy_data","dummy_source",1
"AFG",4314459.4,2000,"OH010","dummy_data","dummy_source",1
"AFG",4931460.4,2011,"OH010","dummy_data","dummy_source",1
"AFG",5077223.6,2008,"OH010","dummy_data","dummy_source",1
"AFG",2669907.2,2012,"OH010","dummy_data","dummy_source",1
"AFG",4719807.6,2010,"OH010","dummy_data","dummy_source",1
"AFG",5821096,2003,"OH010","dummy_data","dummy_source",1
"AFG",5821096,2001,"OH010","dummy_data","dummy_source",1
"AFG",2183376.8,2014,"OH010","dummy_data","dummy_source",1
"AFG",2565772.4,2007,"OH010","dummy_data","dummy_source",1
"AFG",5821096,2002,"OH010","dummy_data","dummy_source",1
"CAF",143877.4,2010,"OH010","dummy_data","dummy_source",1
"CAF",80072.2,2005,"OH010","dummy_data","dummy_source",1
"CAF",366091.8,2013,"OH010","dummy_data","dummy_source",1
"CAF",63374.6,2004,"OH010","dummy_data","dummy_source",1
"CAF",366091.8,2014,"OH010","dummy_data","dummy_source",1
"CAF",109091,2011,"OH010","dummy_data","dummy_source",1
"CAF",8630.8,2002,"OH010","dummy_data","dummy_source",1
"CAF",10438.2,2000,"OH010","dummy_data","dummy_source",1
"CAF",244419.6,2007,"OH010","dummy_data","dummy_source",1
"CAF",60566,2006,"OH010","dummy_data","dummy_source",1
"CAF",92835.6,2001,"OH010","dummy_data","dummy_source",1
"CAF",87098.6,2012,"OH010","dummy_data","dummy_source",1
"CAF",262887,2009,"OH010","dummy_data","dummy_source",1
"CAF",86592.8,2003,"OH010","dummy_data","dummy_source",1
"CAF",179968.2,2008,"OH010","dummy_data","dummy_source",1
"CIV",487286.8,2012,"OH010","dummy_data","dummy_source",1
"CIV",72997.4,2000,"OH010","dummy_data","dummy_source",1
"CIV",629967,2005,"OH010","dummy_data","dummy_source",1
"CIV",62928.8,2008,"OH010","dummy_data","dummy_source",1
"CIV",459613.8,2009,"OH010","dummy_data","dummy_source",1
"CIV",670787.6,2010,"OH010","dummy_data","dummy_source",1
"CIV",324615,2001,"OH010","dummy_data","dummy_source",1
"CIV",452683.8,2002,"OH010","dummy_data","dummy_source",1
"CIV",284884.6,2007,"OH010","dummy_data","dummy_source",1
"CIV",365614,2013,"OH010","dummy_data","dummy_source",1
"CIV",365614,2014,"OH010","dummy_data","dummy_source",1
"CIV",915343.8,2011,"OH010","dummy_data","dummy_source",1
"CIV",815193.2,2003,"OH010","dummy_data","dummy_source",1
"CIV",842078,2004,"OH010","dummy_data","dummy_source",1
"CIV",611035.2,2006,"OH010","dummy_data","dummy_source",1
"COD",5128624.6,2005,"OH010","dummy_data","dummy_source",1
"COD",8599561,2006,"OH010","dummy_data","dummy_source",1
"COD",5716229.4,2000,"OH010","dummy_data","dummy_source",1
"COD",11321205.2,2012,"OH010","dummy_data","dummy_source",1
"COD",7453898.2,2001,"OH010","dummy_data","dummy_source",1
"COD",5446017.6,2009,"OH010","dummy_data","dummy_source",1
"COD",5906054,2004,"OH010","dummy_data","dummy_source",1
"COD",6105488.8,2007,"OH010","dummy_data","dummy_source",1
"COD",6965301,2002,"OH010","dummy_data","dummy_source",1
"COD",9681068.2,2014,"OH010","dummy_data","dummy_source",1
"COD",8293817.8,2010,"OH010","dummy_data","dummy_source",1
"COD",10697149.6,2011,"OH010","dummy_data","dummy_source",1
"COD",5471615.8,2003,"OH010","dummy_data","dummy_source",1
"COD",9681068.2,2013,"OH010","dummy_data","dummy_source",1
"COD",5965212,2008,"OH010","dummy_data","dummy_source",1
"COL",1178682.2,2014,"OH010","dummy_data","dummy_source",1
"COL",1178682.2,2013,"OH010","dummy_data","dummy_source",1
"COL",1150627.6,2006,"OH010","dummy_data","dummy_source",1
"COL",1667607.6,2011,"OH010","dummy_data","dummy_source",1
"COL",2744021,2004,"OH010","dummy_data","dummy_source",1
"COL",1229986.4,2003,"OH010","dummy_data","dummy_source",1
"COL",864034.4,2000,"OH010","dummy_data","dummy_source",1
"COL",1604307.8,2008,"OH010","dummy_data","dummy_source",1
"COL",1013355.2,2001,"OH010","dummy_data","dummy_source",1
"COL",830039.4,2007,"OH010","dummy_data","dummy_source",1
"COL",5496767,2010,"OH010","dummy_data","dummy_source",1
"COL",1044160,2002,"OH010","dummy_data","dummy_source",1
"COL",1673912.6,2009,"OH010","dummy_data","dummy_source",1
"COL",1278645.2,2012,"OH010","dummy_data","dummy_source",1
"COL",1373770.8,2005,"OH010","dummy_data","dummy_source",1
"ERI",18644.8,2013,"OH010","dummy_data","dummy_source",1
"ERI",311647.8,2002,"OH010","dummy_data","dummy_source",1
"ERI",146539.4,2011,"OH010","dummy_data","dummy_source",1
"ERI",935296.6,2000,"OH010","dummy_data","dummy_source",1
"ERI",18644.8,2014,"OH010","dummy_data","dummy_source",1
"ERI",28473.6,2012,"OH010","dummy_data","dummy_source",1
"ERI",43947,2009,"OH010","dummy_data","dummy_source",1
"ERI",516674.8,2003,"OH010","dummy_data","dummy_source",1
"ERI",102244.8,2006,"OH010","dummy_data","dummy_source",1
"ERI",804053.6,2001,"OH010","dummy_data","dummy_source",1
"ERI",72205,2008,"OH010","dummy_data","dummy_source",1
"ERI",0,2010,"OH010","dummy_data","dummy_source",1
"ERI",217146.2,2005,"OH010","dummy_data","dummy_source",1
"ERI",435075.8,2004,"OH010","dummy_data","dummy_source",1
"ERI",76271.8,2007,"OH010","dummy_data","dummy_source",1
"ETH",4123420.4,2005,"OH010","dummy_data","dummy_source",1
"ETH",2804100.6,2014,"OH010","dummy_data","dummy_source",1
"ETH",2648683.4,2009,"OH010","dummy_data","dummy_source",1
"ETH",2895914,2012,"OH010","dummy_data","dummy_source",1
"ETH",2804100.6,2013,"OH010","dummy_data","dummy_source",1
"ETH",12174152.6,2002,"OH010","dummy_data","dummy_source",1
"ETH",1932823,2010,"OH010","dummy_data","dummy_source",1
"ETH",13251207,2000,"OH010","dummy_data","dummy_source",1
"ETH",5581936,2007,"OH010","dummy_data","dummy_source",1
"ETH",5942197.8,2006,"OH010","dummy_data","dummy_source",1
"ETH",4714441.4,2008,"OH010","dummy_data","dummy_source",1
"ETH",4937902.6,2004,"OH010","dummy_data","dummy_source",1
"ETH",4186820,2001,"OH010","dummy_data","dummy_source",1
"ETH",10737905.4,2003,"OH010","dummy_data","dummy_source",1
"ETH",3499860.8,2011,"OH010","dummy_data","dummy_source",1
"HTI",503026.6,2005,"OH010","dummy_data","dummy_source",1
"HTI",2006572.8,2010,"OH010","dummy_data","dummy_source",1
"HTI",950977.2,2012,"OH010","dummy_data","dummy_source",1
"HTI",479071.6,2007,"OH010","dummy_data","dummy_source",1
"HTI",754853.6,2004,"OH010","dummy_data","dummy_source",1
"HTI",706016.4,2009,"OH010","dummy_data","dummy_source",1
"HTI",605486.8,2013,"OH010","dummy_data","dummy_source",1
"HTI",19519.2,2002,"OH010","dummy_data","dummy_source",1
"HTI",23606.8,2000,"OH010","dummy_data","dummy_source",1
"HTI",0,2001,"OH010","dummy_data","dummy_source",1
"HTI",408679.8,2006,"OH010","dummy_data","dummy_source",1
"HTI",605486.8,2014,"OH010","dummy_data","dummy_source",1
"HTI",930047.6,2011,"OH010","dummy_data","dummy_source",1
"HTI",854726.8,2008,"OH010","dummy_data","dummy_source",1
"HTI",60257.4,2003,"OH010","dummy_data","dummy_source",1
"IDN",48760327.8,2005,"OH010","dummy_data","dummy_source",1
"IDN",6129869.8,2004,"OH010","dummy_data","dummy_source",1
"IDN",791242.6,2008,"OH010","dummy_data","dummy_source",1
